0,0
0,0
0,0
0,0
0,0
0,0
1,2
1,2
2,3
1,1
6,4
7,10
15,14
20,20
34,26
45,30
71,45
102,63
110,88
94,95
127,116
127,159
131,145
150,184
177,214
182,215
225,224
229,228
250,217
264,233
300,242
278,254
286,275
274,273
266,312
259,298
316,290
276,296
294,308
286,321
295,355
273,329
291,362
298,396
250,363
269,365
265,396
284,393
276,382
266,411
273,405
265,430
252,382
269,408
297,426
278,437
268,441
293,485
268,441
288,424
257,415
320,419
300,471
269,419
283,428
316,396
284,444
329,404
319,406
334,434
314,418
330,399
350,417
334,430
336,428
353,403
327,416
356,394
327,422
353,407
349,389
339,392
416,382
351,389
370,385
376,394
356,370
343,373
389,356
337,350
324,342
340,351
350,360
381,328
409,319
345,300
363,326
386,312
331,295
376,325
391,313
417,288
380,275
366,271
409,278
431,279
356,278
388,278
410,265
408,293
380,292
381,254
386,267
376,258
397,244
404,258
399,241
411,234
356,265
380,237
368,207
375,253
367,226
417,251
351,252
382,212
383,235
378,244
390,210
361,237
334,192
344,225
351,228
310,216
358,237
368,205
400,234
347,248
328,196
356,250
381,248
362,220
344,249
345,235
348,266
353,242
345,240
301,292
361,242
338,268
320,266
356,251
305,281
329,299
324,303
291,297
313,314
323,302
313,329
331,321
315,339
310,337
323,334
321,319
291,348
349,322
332,346
353,362
298,362
342,347
347,396
319,410
289,397
291,384
306,381
286,413
295,360
276,369
255,384
287,389
248,371
261,337
248,391
248,344
244,355
247,337
267,303
238,320
229,309
209,286
228,286
233,251
205,249
209,265
189,276
218,237
189,238
182,209
144,199
201,197
162,195
170,200
141,166
140,139
143,139
135,145
137,134
156,135
128,135
158,121
133,127
153,124
112,120
128,123
117,114
129,129
123,88
107,108
95,125
100,97
84,89
82,96
79,119
85,87
71,93
84,93
86,102
62,93
65,80
64,94
57,87
65,93
49,72
72,89
70,90
73,75
75,89
59,111
62,102
60,112
57,137
57,142
60,148
48,136
49,133
60,137
49,129
45,122
60,121
59,131
87,103
99,111
141,134
117,149
293,1961
3439,116
0,0
0,0
0,0
0,0
1,1
1,0
0,0
0,1
4,3
8,1
6,11
5,5
8,6
15,15
25,16
25,32
63,42
73,60
96,59
125,94
130,100
126,153
165,164
143,184
172,191
208,204
208,215
241,208
243,214
277,254
286,250
298,260
261,290
314,277
278,290
306,296
305,279
300,287
316,333
284,337
297,338
318,331
331,373
346,361
270,358
294,407
311,355
280,372
307,423
285,392
306,413
303,404
307,378
268,423
326,441
300,434
312,429
340,440
312,425
302,449
295,463
318,462
339,400
324,423
329,418
342,458
349,427
346,412
317,396
373,426
331,453
349,427
342,475
366,424
307,420
320,430
353,440
358,451
327,406
336,407
368,432
318,388
333,408
